FirstName,LastName,Email,Phone,Gender,Status,Profile,Location,DateCreated,DateUpdated
Mahadev,Shiv,mahadev@gmail.com,8820239869,Male,Active,http://localhost:4000/uploads/image-1703571553785.1703438340219.jfif,kolkata,Tue Dec 26 2023 11:49:14 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:27:57 GMT+0530 (India Standard Time)
Abhimanyu,Sardar,abhimanyu@gmail.com,8820239869,Male,Active,http://localhost:4000/uploads/image-1703652167082.IMG_20221109_170121.jpg,Kolkata,Wed Dec 27 2023 10:12:47 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:55:23 GMT+0530 (India Standard Time)
Bhuvaneswari,gupta,bhuvaneswari@gmail.com,8820239869,Female,Active,http://localhost:4000/uploads/image-1703912835017.female2.jfif,kanpur,Sat Dec 30 2023 10:37:15 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:54:01 GMT+0530 (India Standard Time)
Bhavna,SHARMA,bhavna@gmail.com,8976543210,Female,InActive,http://localhost:4000/uploads/image-1703912879486.f3.jfif,Chennai,Sat Dec 30 2023 10:37:59 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:53:27 GMT+0530 (India Standard Time)
Anupa,Mishra,anupa@gmail.com,8820239869,Female,InActive,http://localhost:4000/uploads/image-1703912960502.f4.jfif,Mumbai,Sat Dec 30 2023 10:39:20 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:52:54 GMT+0530 (India Standard Time)
Anjali,Pathak,anjali@gmail.com,8820239869,Female,Active,http://localhost:4000/uploads/image-1703913017712.f5.jfif,Surat,Sat Dec 30 2023 10:40:18 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:52:19 GMT+0530 (India Standard Time)
Aja,Kumari,aja@gmail.com,8820239869,Female,Active,http://localhost:4000/uploads/image-1703913072950.f6.jfif,Jaunpur,Sat Dec 30 2023 10:41:13 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:51:42 GMT+0530 (India Standard Time)
Shivam,Mishra,shivam@gmail.com,8820239869,Male,InActive,http://localhost:4000/uploads/image-1704807033969.20231022_210000.jpg,Kolkata,Sat Dec 30 2023 10:41:54 GMT+0530 (India Standard Time),Tue Jan 09 2024 19:00:35 GMT+0530 (India Standard Time)
Veer,YADAV,veer@gmail.com,9674308205,Male,Active,http://localhost:4000/uploads/image-1703914353894.m5.png,Bengalore,Sat Dec 30 2023 11:02:34 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:43:36 GMT+0530 (India Standard Time)
Shivam,Mishra,txt2shivam@gmail.com,8820239869,Male,Active,http://localhost:4000/uploads/image-1704261799698.IMG_20221109_170121.jpg,WESTBENGAL,Wed Jan 03 2024 11:33:20 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:56:45 GMT+0530 (India Standard Time)
Advit,Jha,advit@gmail.com,8976543210,Male,Active,http://localhost:4000/uploads/image-1704805488002.images (1).png,Patna,Thu Jan 04 2024 11:33:51 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:42:31 GMT+0530 (India Standard Time)
Advika,Patra,Advika@gmail.com,8976543210,Female,Active,http://localhost:4000/uploads/image-1704805454599.images (4).png,Sonarpur,Fri Jan 05 2024 09:22:53 GMT+0530 (India Standard Time),Tue Jan 09 2024 18:41:41 GMT+0530 (India Standard Time)
